  Freq(MHz)  	dB re. 1V/uPa	    V/Pa     	V^2cm^2/W    	  
    6.800	       -282.58	       7.433E-009	      8.287E-007
    6.850	       -282.55	       7.452E-009	      8.330E-007
    6.900	       -282.57	       7.438E-009	      8.299E-007
    6.950	       -282.51	       7.493E-009	      8.422E-007
    7.000	       -282.45	       7.545E-009	      8.539E-007
    7.050	       -282.35	       7.634E-009	      8.741E-007
    7.100	       -282.26	       7.707E-009	      8.910E-007
    7.150	       -282.28	       7.695E-009	      8.881E-007
    7.200	       -282.19	       7.769E-009	      9.054E-007
    7.250	       -282.14	       7.818E-009	      9.168E-007
    7.300	       -282.01	       7.935E-009	      9.444E-007
    7.350	       -281.91	       8.028E-009	      9.666E-007
    7.400	       -281.79	       8.136E-009	      9.929E-007
    7.450	       -281.66	       8.256E-009	      1.022E-006
    7.500	       -281.58	       8.341E-009	      1.044E-006
    7.550	       -281.41	       8.501E-009	      1.084E-006
    7.600	       -281.27	       8.640E-009	      1.120E-006
    7.650	       -281.19	       8.723E-009	      1.141E-006
    7.700	       -281.09	       8.818E-009	      1.166E-006
    7.750	       -281.08	       8.832E-009	      1.170E-006
    7.800	       -281.12	       8.792E-009	      1.160E-006
    7.850	       -281.16	       8.749E-009	      1.148E-006
    7.900	       -281.19	       8.716E-009	      1.140E-006
    7.950	       -281.22	       8.693E-009	      1.133E-006
    8.000	       -281.15	       8.757E-009	      1.150E-006
    8.050	       -281.24	       8.674E-009	      1.129E-006
    8.100	       -281.28	       8.626E-009	      1.116E-006
    8.150	       -281.33	       8.583E-009	      1.105E-006
    8.200	       -281.32	       8.594E-009	      1.108E-006
    8.250	       -281.38	       8.532E-009	      1.092E-006
    8.300	       -281.51	       8.405E-009	      1.060E-006
    8.350	       -281.56	       8.355E-009	      1.047E-006
    8.400	       -281.63	       8.290E-009	      1.031E-006
    8.450	       -281.64	       8.281E-009	      1.029E-006
    8.500	       -281.66	       8.258E-009	      1.023E-006
    8.550	       -281.65	       8.273E-009	      1.027E-006
    8.600	       -281.56	       8.352E-009	      1.046E-006
    8.650	       -281.38	       8.528E-009	      1.091E-006
    8.700	       -281.27	       8.638E-009	      1.119E-006
    8.750	       -281.22	       8.691E-009	      1.133E-006
    8.800	       -281.12	       8.785E-009	      1.158E-006
    8.850	       -281.04	       8.876E-009	      1.182E-006
    8.900	       -281.03	       8.882E-009	      1.183E-006
    8.950	       -281.07	       8.841E-009	      1.173E-006
    9.000	       -281.08	       8.828E-009	      1.169E-006
    9.050	       -281.10	       8.806E-009	      1.163E-006
    9.100	       -281.09	       8.817E-009	      1.166E-006
    9.150	       -281.14	       8.766E-009	      1.153E-006
    9.200	       -281.17	       8.743E-009	      1.147E-006
    9.250	       -281.27	       8.643E-009	      1.120E-006
    9.300	       -281.30	       8.614E-009	      1.113E-006
    9.350	       -281.26	       8.650E-009	      1.122E-006
    9.400	       -281.19	       8.724E-009	      1.142E-006
    9.450	       -281.14	       8.772E-009	      1.154E-006
    9.500	       -281.16	       8.750E-009	      1.149E-006
